"Asset values (in millions of dollars), by industries and asset types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Primary_Metal_Manufacturing,424,416,15,6,707,61,3,0,8766,566,80,58559,3917,34201,7170,327,319,42,539,73,59,0,289,0,0,587,41,128,436,0,59,1477,8365,0,1334,0,222,97730,0,18,0,6,22,13,13,18,9,0,0,0,0,0,0,11,0,136,259,0,0,0,0,0,0,0,0,441,718,79,35,14021,6337,0,0,0,0,0,0,0,0,0,54844,16882,0,0,0
Fabricated_Metal_Product_Manufacturing,501,375,5,572,845,96,12,0,36586,62,28,75622,1451,22398,2436,1792,913,252,165,214,1,0,705,0,5,909,48,120,749,5,42,1436,7053,0,3755,5,497,92769,0,22,0,14,0,0,13,0,0,0,5,0,0,0,0,0,0,70,100,0,0,0,0,0,0,0,0,695,1069,238,108,19918,9044,0,0,0,0,0,0,0,0,0,92668,16830,0,0,0
Machinery_Manufacturing,857,980,70,7,3305,129,9,0,7031,662,2390,50262,4435,33206,4952,1234,352,184,1094,27,21,0,1494,0,234,2062,107,955,925,0,150,4035,12493,0,6667,6,617,100504,0,67,0,70,0,0,109,0,0,0,59,0,35,0,0,17,0,63,140,0,0,0,0,0,0,0,0,1402,2285,554,250,55867,25270,0,0,0,0,0,0,0,0,0,96179,15091,0,0,0
Computer_and_Electronic_Product_Manufacturing,4203,12909,1887,5298,20514,568,28,0,4452,154,10,4518,41979,22176,8974,236,11,106,1430,2,2,0,2197,0,0,311,11,145,158,0,1481,4417,29264,0,8406,13,1174,201544,0,537,0,381,0,0,26,0,0,0,0,0,21,0,0,27,0,69,246,0,0,0,0,0,0,0,0,2868,5582,580,263,214745,97405,0,0,0,0,0,0,0,0,0,83149,33824,0,0,0
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",283,186,0,1128,574,341,44,0,1281,0,12,6428,1923,6385,7040,77,23,18,293,0,0,0,457,0,0,388,13,8,100,0,496,2298,9217,0,2597,0,419,31058,0,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,39,78,0,0,0,0,0,0,0,0,463,734,185,83,21851,9888,0,0,0,0,0,0,0,0,0,32309,6011,0,0,0
Motor_Vehicle_and_Parts_Manufacturing,1194,904,4,2,7434,5050,409,0,11623,189,197,59410,3002,42061,2483,1555,438,283,770,17,58,0,748,0,220,51,137,0,5187,0,202,7642,4774,0,2180,6,800,111669,0,0,0,0,0,0,0,0,0,0,18,64,0,1,0,136,0,34,65,0,0,0,0,0,0,0,0,1204,2003,104,47,57136,25864,0,0,0,0,0,0,0,0,0,60025,20510,0,0,0
Other_Transportation_Equipment_Manufacturing,1114,579,6,13,2556,138,8,0,1830,0,18,8615,556,12403,1675,184,65,40,23753,806,95,0,504,0,0,2119,90,0,187,0,55,2464,4857,1,3267,5,399,84934,0,30,0,2,0,0,41,72,0,0,0,0,7,0,0,3886,0,34,91,0,0,0,0,0,0,0,0,1006,1901,639,289,46997,21274,0,0,0,0,0,0,0,0,0,115968,20293,0,0,0
Furniture_and_Related_Products_Manufacturing,243,232,15,1,111,52,9,0,971,0,5,1746,2364,2616,185,524,140,60,68,0,21,0,1649,0,16,439,23,0,129,0,15,1672,1785,0,1540,4,297,15324,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,414,640,103,47,2344,1063,0,0,0,0,0,0,0,0,0,17355,4243,0,0,0
Medical_Equipment_and_Supplies,727,206,6104,10355,658,61,2,0,949,0,1,3599,1023,9308,608,144,3,27,19,0,0,0,468,0,0,63,3,0,1123,0,2,811,2306,0,1695,0,103,28804,0,1,0,24,2,1,26,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,1524,2368,80,37,18577,8500,0,0,0,0,0,0,0,0,0,29615,10039,0,0,0
Other_Manufacturing,179,210,11,1,135,34,3,0,1787,0,139,2618,2361,4853,252,167,144,24,132,27,0,0,430,0,10,132,6,36,636,0,38,2595,2255,0,689,20,429,19799,0,1,0,0,0,7,2,0,0,0,4,0,0,0,0,0,0,19,33,0,0,0,0,0,0,0,0,298,484,67,31,13307,6110,0,0,0,0,0,0,0,0,0,14896,3258,0,0,0
