Acceleration factor,Default value for industry,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Primary_Nonferrous_Metal_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Fabricated_Metal_Product_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Machinery_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Computer_and_Electronic_Product_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Motor_Vehicle_and_Parts_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Ships_and_Boats_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Transportation_Equipment_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Furniture_and_Related_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Medical_and_Dental_Supplies_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Miscellaneous_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Wholesale_Durable_Goods,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Wholesale_Nondurable_Goods,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Motor_Vehicle_and_Parts_Dealers,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Food_and_Beverages_Stores,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
General_Merchandise_Stores,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Gas_Stations,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Non_Gas_Stations_Retail,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Air_Transportation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Rail_Transportation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Water_Transportation,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Truck_Transportation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Transit_and_Ground_Passenger_Transportation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Pipeline_Transportation,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Transportation_and_Support_Activities,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Warehousing_and_Storage,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Publishing_Industries_(Except_Internet),2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Movie_Theaters,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Motion_Picture_and_Sound_Recording,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Broadcasting_(Except_Internet)_and_Telecommunications,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Telephone_Communication,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,1.00,1.00,2.00,1.50,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Cable_Television,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Telecommunication,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.50,1.50,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Information_and_Data_Processing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Depository_Credit_Intermediation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Intermediation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
