"Weights (Asset Values) by Asset Type, Legal Form, and Financing Source, 2021 (Millions of Dollars)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Other entertainment originals,9355.49,4195.1,13550.59,6329.89,4656.18,10986.07,15685.39,8851.28,24536.66
Reserved for non-BEA intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reserved for non-BEA intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential equipment,6973.7,3202.43,10176.13,23629.93,12446.3,36076.23,30603.63,15648.73,46252.36
Residential buildings,578946.37,265860.83,844807.2,1961721.2,1033273.0,2994994.2,2540667.58,1299133.82,3839801.4
Inventories,1258988.44,482035.88,1741024.32,766162.45,202399.68,968562.12,2025150.88,684435.56,2709586.44
Land,1789256.74,1018906.84,2808163.58,2324358.72,1062411.02,3386769.74,4113615.46,2081317.86,6194933.33
Reserved for non-BEA natural resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reserved for non-BEA natural resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reserved for non-BEA natural resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential equipment,3055575.24,1709720.24,4765295.48,981829.31,362717.68,1344546.99,4037404.55,2072437.92,6109842.47
Nonresidential structures,6246271.89,3010616.67,9256888.56,1927804.59,939910.9,2867715.49,8174076.48,3950527.57,12124604.05
Residential property,585920.08,269063.25,854983.33,1985351.13,1045719.3,3031070.43,2571271.21,1314782.55,3886053.76
R&D and own-account software,1366876.99,562598.22,1929475.21,117478.82,28670.5,146149.32,1484355.82,591268.72,2075624.54
Other intellectual property products,536794.31,342489.33,879283.63,42790.12,26919.11,69709.23,579584.43,369408.43,948992.86
"All equipment, structures, IPP, and inventories",13050426.94,6376523.6,19426950.54,5821416.42,2606337.15,8427753.58,18871843.36,8982860.75,27854704.11
"All equipment, structures, IPP, inventories, and land",14839683.68,7395430.44,22235114.12,8145775.15,3668748.17,11814523.32,22985458.83,11064178.61,34049637.44
"All equipment, structures, and inventories",11146755.64,5471436.05,16618191.69,5661147.48,2550747.55,8211895.02,16807903.12,8022183.6,24830086.71
"All equipment, structures, inventories, and land",12936012.38,6490342.89,19426355.27,7985506.2,3613158.57,11598664.77,20921518.58,10103501.46,31025020.04
